speed_kmh,iso,distance_m,axis,bew_mean,bew_sd,mtf50_mean,mtf50_sd,n_frames
60,100,2.5,H,4.496,0.8779617247485546,0.11697666666666666,0.017978363539420256,10
60,100,2.5,V,3.9784999999999995,0.2809424724734696,0.14413333333333334,0.010542802237182751,10
60,100,3.5,H,4.233,0.45969917699875584,0.12162500000000001,0.00870294490388167,10
60,100,3.5,V,3.8075,0.13520046844100306,0.151705,0.006833514225247996,10
60,100,4.5,H,4.5885,0.2740645706560571,0.112075,0.006114020771963407,10
60,100,4.5,V,4.139,0.3372914993822933,0.13627,0.00989453272154768,10
60,100,5.5,H,5.069090909090909,0.5475528202001071,0.10225454545454546,0.009223596222337972,11
60,100,5.5,V,4.357272727272727,0.32778318776566046,0.12158181818181818,0.01011870230630571,11
60,100,6.5,H,4.521818181818182,0.29824715193336504,0.11427727272727273,0.009195688218843754,11
60,100,6.5,V,3.8077272727272726,0.157040816929288,0.13800909090909091,0.005430000837100221,11
60,200,2.5,H,3.9116666666666666,0.23722937798210797,0.1283190476190476,0.006269949115005784,7
60,200,2.5,V,3.8099999999999996,0.15356865999719263,0.1512357142857143,0.005295887892641667,7
60,200,3.5,H,4.309090909090909,0.4280701939040967,0.12006363636363636,0.011318857957168004,11
60,200,3.5,V,3.8377272727272724,0.19101523023523062,0.1520409090909091,0.005832615973206973,11
60,200,4.5,H,4.917916666666667,0.3714740804204816,0.10572083333333333,0.008893676464803858,12
60,200,4.5,V,4.336250000000001,0.353721288587498,0.12971666666666667,0.008067114312648182,12
60,200,5.5,H,5.352083333333333,0.551734695521701,0.09681250000000001,0.009967541070896068,12
60,200,5.5,V,4.699166666666667,0.32486244175128326,0.11557083333333333,0.010091072975054665,12
60,200,6.5,H,5.832083333333333,0.5259556597856955,0.08958333333333333,0.00886938896463903,12
60,200,6.5,V,5.847916666666666,0.4341159163033289,0.0885125,0.007194541017642851,12
60,400,2.5,H,5.236875,0.9349443738227732,0.09805625,0.015809026298289213,8
60,400,2.5,V,5.81375,0.6060454367690354,0.09231875,0.008594804805395944,8
60,400,3.5,H,5.010909090909091,0.6366860222347364,0.103,0.01068915338088101,11
60,400,3.5,V,4.21375,0.32551881666041954,0.14549375,0.008989058329038539,8
60,400,4.5,H,7.775454545454545,0.6752979140551766,0.06512727272727273,0.004827647648511834,11
60,400,4.5,V,7.3933333333333335,0.2778068873636262,0.06768333333333333,0.0040300951188113054,6
60,400,5.5,H,4.4823076923076925,0.3219835359702379,0.11525,0.007608985915788425,13
60,400,5.5,V,4.016538461538461,0.10867352896375414,0.13427307692307694,0.004422556546869291,13
60,400,6.5,H,4.622916666666667,0.34296473668011485,0.11295833333333333,0.007039654993267952,12
60,400,6.5,V,3.841666666666667,0.11213492954580401,0.1379875,0.006091503956704409,12
60,800,2.5,H,4.075,1.055062625087792,0.13418125,0.03147910800946286,8
60,800,2.5,V,3.6187500000000004,0.44135950684868486,0.16793750000000002,0.027134266027610612,8
60,800,3.5,H,4.263333333333334,0.6041574711943898,0.12163333333333333,0.01255769186594415,9
60,800,3.5,V,3.9522222222222223,0.27901737301545293,0.15011666666666665,0.009478066786006524,9
60,800,4.5,H,4.85375,0.36269273872973073,0.10744583333333334,0.009656991304780496,12
60,800,4.5,V,4.345,0.35496478698597705,0.12784166666666666,0.010467565344550005,12
60,800,5.5,H,5.3275,0.6062309041041286,0.09985416666666667,0.01131988311723574,12
60,800,5.5,V,4.673333333333333,0.34170251105399596,0.11589166666666667,0.00900592818227208,12
60,800,6.5,H,6.084615384615384,0.5040769680749059,0.08478846153846153,0.0076870874915382645,13
