speed_kmh,iso,distance_m,frame,edge_dir,bew_px,mtf50_cy_px,source_file,axis
60,100,2.5,frame_000154.png,Horiz (V-edge),6.51,0.0789,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000154.png,Horiz (V-edge),5.68,0.0885,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000154.png,Vertical (H-edge),4.69,0.1085,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000154.png,Vertical (H-edge),4.11,0.114,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000155.png,Horiz (V-edge),4.51,0.1139,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000155.png,Horiz (V-edge),4.35,0.117,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000155.png,Vertical (H-edge),4.02,0.1397,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000155.png,Vertical (H-edge),3.67,0.1479,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000157.png,Horiz (V-edge),3.75,0.1358,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000157.png,Horiz (V-edge),3.7,0.1361,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000157.png,Vertical (H-edge),3.69,0.1552,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000157.png,Vertical (H-edge),3.97,0.1506,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000102.png,Horiz (V-edge),6.25,0.0856,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000154.png,Horiz (V-edge),6.37,0.082,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000154.png,Horiz (V-edge),5.72,0.0875,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000154.png,Vertical (H-edge),4.48,0.1246,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000154.png,Vertical (H-edge),4.09,0.1323,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000155.png,Horiz (V-edge),4.6,0.1144,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000155.png,Horiz (V-edge),4.28,0.1176,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000155.png,Vertical (H-edge),3.93,0.1502,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000155.png,Vertical (H-edge),3.73,0.1481,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000157.png,Horiz (V-edge),3.76,0.136,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000157.png,Horiz (V-edge),3.68,0.1366,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000157.png,Vertical (H-edge),3.69,0.1544,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000157.png,Vertical (H-edge),3.98,0.1488,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000102.png,Horiz (V-edge),6.24,0.0854,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000102.png,Horiz (V-edge),5.68,0.0937,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000102.png,Vertical (H-edge),4.67,0.1225,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000102.png,Vertical (H-edge),3.77,0.1446,cam1_v60_iso100_d25.csv,V
60,100,2.5,frame_000103.png,Horiz (V-edge),4.58,0.1129,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000103.png,Horiz (V-edge),4.44,0.118,cam1_v60_iso100_d25.csv,H
60,100,2.5,frame_000103.png,Vertical (H-edge),3.6,0.1532,cam1_v60_iso100_d25.csv,V
