speed_kmh,shutter_us,illum_lx,iso,axis,frame,bew_px,mtf50_cy_px,n_roi
0,50,15000,1600,H,01.png,3.37,0.157,2
0,50,15000,1600,H,02.png,3.37,0.1558,2
0,50,15000,1600,H,03.png,3.34,0.15825,2
0,50,15000,1600,H,04.png,3.4450000000000003,0.1602,2
0,50,15000,1600,H,05.png,3.38,0.15785,2
0,50,15000,1600,H,06.png,3.335,0.1592,2
0,50,15000,1600,H,07.png,3.315,0.1611,2
0,50,15000,1600,H,08.png,3.395,0.15955,2
0,50,15000,1600,H,09.png,3.37,0.15339999999999998,2
0,50,15000,1600,H,10.png,3.3200000000000003,0.1621,2
0,50,15000,1600,V,01.png,2.885,0.17995,2
0,50,15000,1600,V,02.png,2.99,0.18280000000000002,2
0,50,15000,1600,V,03.png,2.92,0.17855,2
0,50,15000,1600,V,04.png,2.965,0.1795,2
0,50,15000,1600,V,05.png,2.92,0.1768,2
0,50,15000,1600,V,06.png,2.9749999999999996,0.1844,2
0,50,15000,1600,V,07.png,2.9,0.17895,2
0,50,15000,1600,V,08.png,2.9850000000000003,0.176,2
0,50,15000,1600,V,09.png,2.9450000000000003,0.1787,2
0,50,15000,1600,V,10.png,2.965,0.17515,2
0,50,40000,1600,H,01.png,3.405,0.1547,2
0,50,40000,1600,H,02.png,3.4850000000000003,0.15545,2
0,50,40000,1600,H,03.png,3.455,0.1625,2
0,50,40000,1600,H,04.png,3.4050000000000002,0.16415000000000002,2
0,50,40000,1600,H,05.png,3.37,0.1644,2
0,50,40000,1600,H,06.png,3.495,0.1557,2
0,50,40000,1600,H,07.png,3.445,0.16035,2
0,50,40000,1600,H,08.png,3.445,0.1576,2
0,50,40000,1600,H,09.png,3.4850000000000003,0.16135,2
0,50,40000,1600,H,10.png,3.395,0.15560000000000002,2
0,50,40000,1600,V,01.png,3.425,0.15510000000000002,2
0,50,40000,1600,V,02.png,3.455,0.15589999999999998,2
0,50,40000,1600,V,03.png,3.425,0.15645,2
0,50,40000,1600,V,04.png,3.4299999999999997,0.15755,2
0,50,40000,1600,V,05.png,3.4299999999999997,0.15825,2
0,50,40000,1600,V,06.png,3.34,0.1582,2
0,50,40000,1600,V,07.png,3.425,0.16115000000000002,2
0,50,40000,1600,V,08.png,3.43,0.15665,2
0,50,40000,1600,V,09.png,3.475,0.15995,2
0,50,40000,1600,V,10.png,3.3899999999999997,0.16025,2
0,100,15000,1600,H,01.png,3.56,0.14945,2
0,100,15000,1600,H,02.png,3.5599999999999996,0.15145,2
0,100,15000,1600,H,03.png,3.55,0.1529,2
0,100,15000,1600,H,04.png,3.52,0.14834999999999998,2
0,100,15000,1600,H,05.png,3.5,0.1516,2
0,100,15000,1600,H,06.png,3.605,0.14895,2
0,100,15000,1600,H,07.png,3.66,0.14605,2
0,100,15000,1600,H,08.png,3.63,0.14895000000000003,2
0,100,15000,1600,H,09.png,3.6,0.1487,2
0,100,15000,1600,H,10.png,3.5999999999999996,0.15325,2
0,100,15000,1600,V,01.png,3.025,0.17025,2
0,100,15000,1600,V,02.png,3.08,0.17245,2
0,100,15000,1600,V,03.png,3.01,0.1755,2
0,100,15000,1600,V,04.png,3.015,0.17645,2
0,100,15000,1600,V,05.png,3.1,0.17395,2
0,100,15000,1600,V,06.png,2.995,0.17235,2
0,100,15000,1600,V,07.png,2.9850000000000003,0.17375,2
0,100,15000,1600,V,08.png,3.035,0.17495,2
0,100,15000,1600,V,09.png,2.99,0.17170000000000002,2
0,100,15000,1600,V,10.png,3.015,0.17585,2
0,100,40000,1600,H,01.png,3.485,0.15589999999999998,2
0,100,40000,1600,H,02.png,3.48,0.15735,2
0,100,40000,1600,H,03.png,3.505,0.1598,2
0,100,40000,1600,H,04.png,3.4699999999999998,0.158,2
0,100,40000,1600,H,05.png,3.5,0.15710000000000002,2
0,100,40000,1600,H,06.png,3.49,0.15695,2
0,100,40000,1600,H,07.png,3.4850000000000003,0.1598,2
0,100,40000,1600,H,08.png,3.5149999999999997,0.15589999999999998,2
0,100,40000,1600,H,09.png,3.51,0.15805000000000002,2
0,100,40000,1600,H,10.png,3.535,0.15005000000000002,2
0,100,40000,1600,V,01.png,3.455,0.1568,2
0,100,40000,1600,V,02.png,3.45,0.15655,2
0,100,40000,1600,V,03.png,3.4699999999999998,0.15965000000000001,2
0,100,40000,1600,V,04.png,3.38,0.1572,2
0,100,40000,1600,V,05.png,3.48,0.15839999999999999,2
0,100,40000,1600,V,06.png,3.385,0.15835,2
0,100,40000,1600,V,07.png,3.41,0.15844999999999998,2
0,100,40000,1600,V,08.png,3.4,0.15510000000000002,2
0,100,40000,1600,V,09.png,3.4050000000000002,0.15575,2
0,100,40000,1600,V,10.png,3.41,0.15694999999999998,2
0,250,15000,1250,H,01.png,3.59,0.14805000000000001,2
