speed_kmh,shutter_us,illum_lx,iso,frame,edge_dir,axis,bew_px,mtf50_cy_px,source_file
0,50,15000,1600,10.png,Horiz (V-edge),H,3.66,0.1505,lab_v00_s050_lx15000.csv
0,50,15000,1600,10.png,Horiz (V-edge),H,2.98,0.1737,lab_v00_s050_lx15000.csv
0,50,15000,1600,10.png,Vertical (H-edge),V,3.01,0.1724,lab_v00_s050_lx15000.csv
0,50,15000,1600,10.png,Vertical (H-edge),V,2.92,0.1779,lab_v00_s050_lx15000.csv
0,50,15000,1600,09.png,Horiz (V-edge),H,3.65,0.1367,lab_v00_s050_lx15000.csv
0,50,15000,1600,09.png,Horiz (V-edge),H,3.09,0.1701,lab_v00_s050_lx15000.csv
0,50,15000,1600,09.png,Vertical (H-edge),V,3.02,0.1756,lab_v00_s050_lx15000.csv
0,50,15000,1600,09.png,Vertical (H-edge),V,2.87,0.1818,lab_v00_s050_lx15000.csv
0,50,15000,1600,08.png,Horiz (V-edge),H,3.66,0.1439,lab_v00_s050_lx15000.csv
0,50,15000,1600,08.png,Horiz (V-edge),H,3.13,0.1752,lab_v00_s050_lx15000.csv
0,50,15000,1600,08.png,Vertical (H-edge),V,3.0,0.1718,lab_v00_s050_lx15000.csv
0,50,15000,1600,08.png,Vertical (H-edge),V,2.97,0.1802,lab_v00_s050_lx15000.csv
0,50,15000,1600,07.png,Horiz (V-edge),H,3.51,0.1528,lab_v00_s050_lx15000.csv
0,50,15000,1600,07.png,Horiz (V-edge),H,3.12,0.1694,lab_v00_s050_lx15000.csv
0,50,15000,1600,07.png,Vertical (H-edge),V,2.94,0.1782,lab_v00_s050_lx15000.csv
0,50,15000,1600,07.png,Vertical (H-edge),V,2.86,0.1797,lab_v00_s050_lx15000.csv
0,50,15000,1600,06.png,Horiz (V-edge),H,3.63,0.1477,lab_v00_s050_lx15000.csv
0,50,15000,1600,06.png,Horiz (V-edge),H,3.04,0.1707,lab_v00_s050_lx15000.csv
