speed_group,IQA,SFR,N,PLCC,PLCC_p,SROCC,SROCC_p,KRCC,KRCC_p
all,hsmb,R1090_H,50,0.2249,0.1163,0.2931,0.0389,0.1722,0.0776
all,hsmb,R1090_V,50,0.1095,0.449,0.1436,0.3197,0.089,0.3619
all,hsmb,MTF50_H,50,-0.4377,0.0015,-0.3402,0.0156,-0.2163,0.0266
all,hsmb,MTF50_V,50,-0.3971,0.0043,-0.4548,0.0009,-0.2898,0.003
all,cpbd,R1090_H,50,0.2516,0.078,0.1664,0.2482,0.102,0.2957
all,cpbd,R1090_V,50,0.2567,0.0719,0.2736,0.0546,0.1624,0.096
all,cpbd,MTF50_H,50,-0.1592,0.2694,-0.1538,0.2862,-0.1004,0.3035
all,cpbd,MTF50_V,50,-0.1632,0.2575,-0.1395,0.334,-0.0922,0.3445
all,niqe,R1090_H,50,-0.1372,0.3421,-0.1239,0.3912,-0.1167,0.2316
all,niqe,R1090_V,50,-0.1987,0.1666,-0.1686,0.2418,-0.1412,0.1479
all,niqe,MTF50_H,50,-0.0782,0.5893,0.0526,0.7169,0.0629,0.5195
all,niqe,MTF50_V,50,0.0575,0.6917,0.0814,0.5742,0.0971,0.3195
all,niqe_matlab,R1090_H,50,-0.0161,0.9118,-0.1289,0.3722,-0.1347,0.1675
all,niqe_matlab,R1090_V,50,-0.1273,0.3784,-0.1698,0.2383,-0.1624,0.096
all,niqe_matlab,MTF50_H,50,-0.2645,0.0634,0.0613,0.6723,0.0776,0.4268
all,niqe_matlab,MTF50_V,50,-0.0972,0.502,0.077,0.5952,0.1118,0.2518
all,piqe,R1090_H,50,-0.1973,0.1696,-0.1295,0.3701,-0.089,0.3619
all,piqe,R1090_V,50,-0.1766,0.22,-0.0404,0.7807,-0.0155,0.8737
all,piqe,MTF50_H,50,0.3336,0.0179,0.2324,0.1044,0.1559,0.1101
all,piqe,MTF50_V,50,0.2376,0.0966,0.1496,0.2998,0.0857,0.3798
all,brisque,R1090_H,50,-0.3472,0.0135,-0.4532,0.001,-0.2996,0.0021
all,brisque,R1090_V,50,-0.3036,0.0321,-0.3899,0.0051,-0.2653,0.0066
all,brisque,MTF50_H,50,0.4952,0.0003,0.5003,0.0002,0.3404,0.0005
all,brisque,MTF50_V,50,0.4138,0.0028,0.5216,0.0001,0.3714,0.0001
all,brisque_matlab,R1090_H,50,-0.1552,0.282,-0.1635,0.2566,-0.1184,0.2252
all,brisque_matlab,R1090_V,50,-0.0979,0.4988,-0.0193,0.8944,-0.0155,0.8737
all,brisque_matlab,MTF50_H,50,0.315,0.0259,0.2311,0.1063,0.169,0.0834
all,brisque_matlab,MTF50_V,50,0.2561,0.0727,0.2525,0.0768,0.1902,0.0513
all,dbcnn,R1090_H,50,0.1102,0.4463,0.1724,0.2311,0.1112,0.2552
all,dbcnn,R1090_V,50,0.103,0.4767,0.1615,0.2625,0.1063,0.2768
all,dbcnn,MTF50_H,50,-0.2006,0.1625,-0.238,0.096,-0.1586,0.1046
all,dbcnn,MTF50_V,50,-0.1178,0.4152,-0.193,0.1793,-0.1308,0.1807
all,arniqa,R1090_H,50,-0.6912,0.0,-0.72,0.0,-0.5547,0.0
all,arniqa,R1090_V,50,-0.5767,0.0,-0.5955,0.0,-0.4747,0.0
all,arniqa,MTF50_H,50,0.8404,0.0,0.7622,0.0,0.5956,0.0
all,arniqa,MTF50_V,50,0.7754,0.0,0.8008,0.0,0.6413,0.0
60km,hsmb,R1090_H,25,0.2414,0.2451,0.3646,0.0731,0.22,0.1299
60km,hsmb,R1090_V,25,0.074,0.7251,0.1715,0.4123,0.1133,0.4449
60km,hsmb,MTF50_H,25,-0.4657,0.019,-0.3931,0.0519,-0.26,0.0718
60km,hsmb,MTF50_V,25,-0.386,0.0567,-0.4515,0.0235,-0.2933,0.0413
60km,cpbd,R1090_H,25,0.2522,0.2239,0.2138,0.3047,0.14,0.3419
60km,cpbd,R1090_V,25,0.2622,0.2054,0.3231,0.1152,0.1933,0.1851
60km,cpbd,MTF50_H,25,-0.1636,0.4345,-0.2223,0.2855,-0.1533,0.2966
60km,cpbd,MTF50_V,25,-0.1533,0.4644,-0.2092,0.3155,-0.1467,0.3187
60km,niqe,R1090_H,25,-0.0815,0.6984,-0.0777,0.712,-0.08,0.5948
60km,niqe,R1090_V,25,-0.1755,0.4014,-0.1992,0.3397,-0.1467,0.3187
60km,niqe,MTF50_H,25,-0.1334,0.5249,0.01,0.9622,0.04,0.7993
60km,niqe,MTF50_V,25,0.0041,0.9846,0.0446,0.8323,0.0733,0.6273
60km,niqe_matlab,R1090_H,25,0.1002,0.6336,-0.0638,0.7617,-0.0867,0.5631
60km,niqe_matlab,R1090_V,25,-0.0491,0.8155,-0.1785,0.3934,-0.1267,0.3914
60km,niqe_matlab,MTF50_H,25,-0.4015,0.0467,0.0062,0.9767,0.0467,0.7638
60km,niqe_matlab,MTF50_V,25,-0.2282,0.2727,0.0154,0.9418,0.04,0.7993
60km,piqe,R1090_H,25,-0.1929,0.3557,-0.0962,0.6475,-0.0533,0.7288
60km,piqe,R1090_V,25,-0.1952,0.3498,-0.0369,0.8609,0.0,1.0
60km,piqe,MTF50_H,25,0.2956,0.1514,0.1846,0.377,0.1067,0.473
60km,piqe,MTF50_V,25,0.2268,0.2755,0.1523,0.4673,0.0867,0.5631
60km,brisque,R1090_H,25,-0.3567,0.08,-0.4523,0.0232,-0.3067,0.0325
60km,brisque,R1090_V,25,-0.3005,0.1443,-0.3669,0.0712,-0.2533,0.0797
60km,brisque,MTF50_H,25,0.442,0.027,0.4908,0.0127,0.3467,0.015
60km,brisque,MTF50_V,25,0.3564,0.0803,0.4969,0.0115,0.3533,0.0131
60km,brisque_matlab,R1090_H,25,-0.045,0.831,-0.1046,0.6187,-0.06,0.6943
60km,brisque_matlab,R1090_V,25,0.009,0.9659,0.0485,0.8181,0.06,0.6943
60km,brisque_matlab,MTF50_H,25,0.1696,0.4177,0.1585,0.4493,0.1,0.5022
60km,brisque_matlab,MTF50_V,25,0.1028,0.6249,0.1577,0.4516,0.0933,0.5322
60km,dbcnn,R1090_H,25,0.1809,0.3868,0.2438,0.2401,0.1533,0.2966
60km,dbcnn,R1090_V,25,0.1503,0.4733,0.21,0.3137,0.14,0.3419
60km,dbcnn,MTF50_H,25,-0.2282,0.2726,-0.28,0.1752,-0.18,0.2182
60km,dbcnn,MTF50_V,25,-0.1387,0.5083,-0.2608,0.208,-0.1733,0.2363
60km,arniqa,R1090_H,25,-0.7173,0.0001,-0.7654,0.0,-0.5867,0.0
60km,arniqa,R1090_V,25,-0.5529,0.0041,-0.5962,0.0017,-0.4933,0.0004
60km,arniqa,MTF50_H,25,0.8488,0.0,0.7815,0.0,0.6267,0.0
60km,arniqa,MTF50_V,25,0.7561,0.0,0.7915,0.0,0.6467,0.0
80km,hsmb,R1090_H,25,0.2243,0.281,0.3038,0.1398,0.18,0.2182
80km,hsmb,R1090_V,25,0.148,0.4802,0.1438,0.4927,0.0867,0.5631
80km,hsmb,MTF50_H,25,-0.4483,0.0246,-0.3585,0.0785,-0.24,0.0975
80km,hsmb,MTF50_V,25,-0.4109,0.0413,-0.4569,0.0217,-0.2867,0.0463
80km,cpbd,R1090_H,25,0.2553,0.2181,0.1415,0.4998,0.08,0.5948
80km,cpbd,R1090_V,25,0.2502,0.2276,0.2015,0.334,0.12,0.4176
80km,cpbd,MTF50_H,25,-0.1566,0.4546,-0.1192,0.5703,-0.0733,0.6273
80km,cpbd,MTF50_V,25,-0.1725,0.4097,-0.0685,0.7451,-0.0267,0.8715
80km,niqe,R1090_H,25,-0.2097,0.3144,-0.2038,0.3284,-0.18,0.2182
80km,niqe,R1090_V,25,-0.224,0.2818,-0.1831,0.3811,-0.1667,0.2554
80km,niqe,MTF50_H,25,-0.0086,0.9673,0.13,0.5357,0.12,0.4176
80km,niqe,MTF50_V,25,0.1167,0.5786,0.16,0.4449,0.1533,0.2966
80km,niqe_matlab,R1090_H,25,-0.2293,0.2702,-0.21,0.3137,-0.2267,0.1183
80km,niqe_matlab,R1090_V,25,-0.2496,0.2289,-0.1777,0.3955,-0.2,0.1699
80km,niqe_matlab,MTF50_H,25,-0.0081,0.9694,0.1323,0.5284,0.1533,0.2966
80km,niqe_matlab,MTF50_V,25,0.1011,0.6305,0.1608,0.4427,0.1867,0.2012
80km,piqe,R1090_H,25,-0.1725,0.4097,-0.0885,0.6741,-0.0733,0.6273
80km,piqe,R1090_V,25,-0.1519,0.4685,0.0131,0.9505,0.02,0.908
80km,piqe,MTF50_H,25,0.3599,0.0772,0.1762,0.3996,0.1333,0.3662
80km,piqe,MTF50_V,25,0.2454,0.2371,0.1138,0.5879,0.0733,0.6273
80km,brisque,R1090_H,25,-0.3802,0.0608,-0.5292,0.0065,-0.3667,0.0099
80km,brisque,R1090_V,25,-0.3113,0.1298,-0.43,0.0319,-0.3,0.0367
80km,brisque,MTF50_H,25,0.6316,0.0007,0.6015,0.0015,0.44,0.0017
80km,brisque,MTF50_V,25,0.4759,0.0162,0.5769,0.0025,0.42,0.0028
80km,brisque_matlab,R1090_H,25,-0.2743,0.1846,-0.2877,0.1632,-0.24,0.0975
80km,brisque_matlab,R1090_V,25,-0.1941,0.3526,-0.1338,0.5236,-0.12,0.4176
80km,brisque_matlab,MTF50_H,25,0.5153,0.0084,0.3308,0.1063,0.2733,0.0579
80km,brisque_matlab,MTF50_V,25,0.4017,0.0465,0.3585,0.0785,0.28,0.0519
80km,dbcnn,R1090_H,25,0.0654,0.7561,0.1646,0.4316,0.1235,0.3874
80km,dbcnn,R1090_V,25,0.0595,0.7775,0.1369,0.5139,0.0968,0.4981
80km,dbcnn,MTF50_H,25,-0.2129,0.3068,-0.2624,0.2052,-0.197,0.1681
80km,dbcnn,MTF50_V,25,-0.1001,0.6341,-0.1754,0.4016,-0.1235,0.3874
80km,arniqa,R1090_H,25,-0.6823,0.0002,-0.7124,0.0001,-0.571,0.0001
80km,arniqa,R1090_V,25,-0.6013,0.0015,-0.5851,0.0021,-0.4641,0.0012
80km,arniqa,MTF50_H,25,0.8808,0.0,0.7936,0.0,0.6444,0.0
80km,arniqa,MTF50_V,25,0.796,0.0,0.7882,0.0,0.6444,0.0
