condition,R1090_H,R1090_V,MTF50_H,MTF50_V,hsmb,cpbd,niqe,niqe_matlab,piqe,brisque,brisque_matlab,dbcnn,arniqa,speed_kmh
low_2.5m_60km_2.5m_ISO100,4.631818181818182,4.0065625,0.11445757575757576,0.14191874999999998,0.7231,0.692,8.5676,6.7379,15.8231,21.7696,36.8151,0.3338,0.3448,60.0
low_2.5m_60km_2.5m_ISO1600,4.502666666666666,4.717222222222222,0.14736,0.15504444444444443,0.5065,0.9271,5.7106,4.5038,16.3397,28.6091,42.6101,0.3246,0.4052,60.0
low_2.5m_60km_2.5m_ISO200,3.9153333333333333,3.785625,0.12836,0.15234999999999999,0.6718,0.8028,7.9665,6.3561,12.7962,15.8092,35.2101,0.3387,0.3548,60.0
low_2.5m_60km_2.5m_ISO400,5.2825,5.781111111111111,0.09744166666666669,0.09247222222222222,0.6169,0.9327,7.7171,6.096,8.6656,7.2245,34.5755,0.3379,0.3607,60.0
low_2.5m_60km_2.5m_ISO800,4.074999999999999,3.6187500000000004,0.13418125,0.16793750000000002,0.6126,0.9026,6.0556,4.6394,11.0882,7.7016,37.7549,0.3344,0.371,60.0
low_2.5m_80km_2.5m_ISO100,4.703749999999999,3.958125,0.10641250000000001,0.1458375,0.6994,0.69,8.8113,6.887,14.4612,22.3087,37.1567,0.3317,0.3393,80.0
low_2.5m_80km_2.5m_ISO1600,4.957619047619048,4.631818181818181,0.1425047619047619,0.15684090909090906,0.5451,0.926,6.3647,5.8547,16.0252,37.3288,45.2918,0.324,0.4002,80.0
low_2.5m_80km_2.5m_ISO200,4.776875,4.154375,0.10625000000000001,0.140875,0.6464,0.8514,8.3738,6.5742,11.3486,15.4387,36.2688,0.3399,0.3527,80.0
low_2.5m_80km_2.5m_ISO400,5.653571428571429,5.198888888888889,0.09402142857142858,0.10381111111111112,0.6157,0.9142,7.6201,5.9993,8.737,7.7472,35.7292,0.3378,0.3545,80.0
low_2.5m_80km_2.5m_ISO800,4.558888888888889,3.7266666666666675,0.11839444444444447,0.16383333333333336,0.6348,0.9048,6.1039,5.1653,10.593,10.7798,38.0648,0.3309,0.3649,80.0
low_3.5m_60km_3.5m_ISO100,4.28625,3.8075,0.12078125,0.15170499999999998,0.7674,0.8682,8.9165,6.8467,11.0001,21.291,37.307,0.3332,0.3319,60.0
low_3.5m_60km_3.5m_ISO1600,3.642000000000001,3.4585,0.1502466666666667,0.189105,0.5858,0.9247,5.8261,4.7707,15.1329,7.9677,35.21,0.3349,0.3806,60.0
