condition,lux,iso,shutter_us,speed_kmh,frame,bew_h,bew_v
15000lx_0640_500us_00,15000,640,500,0,01.png,1.1768,1.3527
15000lx_0640_500us_00,15000,640,500,0,02.png,1.1839,1.3497
15000lx_0640_500us_00,15000,640,500,0,03.png,1.1770,1.3374
15000lx_0640_500us_00,15000,640,500,0,04.png,1.1557,1.3456
15000lx_0640_500us_00,15000,640,500,0,05.png,1.1695,1.3630
15000lx_0640_500us_00,15000,640,500,0,06.png,1.1677,1.3760
15000lx_0640_500us_00,15000,640,500,0,07.png,1.1389,1.3582
15000lx_0640_500us_00,15000,640,500,0,08.png,1.1825,1.3613
15000lx_0640_500us_00,15000,640,500,0,09.png,1.1714,1.3696
15000lx_0640_500us_00,15000,640,500,0,10.png,1.1782,1.3680
15000lx_0640_500us_10,15000,640,500,10,01.png,1.6960,1.3818
15000lx_0640_500us_10,15000,640,500,10,02.png,1.6773,1.3486
15000lx_0640_500us_10,15000,640,500,10,03.png,1.6954,1.3732
15000lx_0640_500us_10,15000,640,500,10,04.png,1.7057,1.3949
15000lx_0640_500us_10,15000,640,500,10,05.png,1.6409,1.4296
15000lx_0640_500us_10,15000,640,500,10,06.png,1.6557,1.3647
15000lx_0640_500us_10,15000,640,500,10,07.png,1.6605,1.4165
15000lx_0640_500us_10,15000,640,500,10,08.png,1.6961,1.3531
15000lx_0640_500us_10,15000,640,500,10,09.png,1.7087,1.3496
15000lx_0640_500us_10,15000,640,500,10,10.png,1.7087,1.3496
15000lx_0640_500us_30,15000,640,500,30,01.png,2.9945,1.6075
15000lx_0640_500us_30,15000,640,500,30,02.png,3.0314,1.5892
15000lx_0640_500us_30,15000,640,500,30,03.png,3.0245,1.5933
15000lx_0640_500us_30,15000,640,500,30,04.png,3.0219,1.5874
15000lx_0640_500us_30,15000,640,500,30,05.png,3.0204,1.5781
15000lx_0640_500us_30,15000,640,500,30,06.png,3.0483,1.5967
15000lx_0640_500us_30,15000,640,500,30,07.png,3.0103,1.6496
15000lx_0640_500us_30,15000,640,500,30,08.png,3.0522,1.6299
15000lx_0640_500us_30,15000,640,500,30,09.png,3.0367,1.5914
15000lx_0640_500us_30,15000,640,500,30,10.png,3.0360,1.6025
15000lx_0640_500us_50,15000,640,500,50,01.png,3.6608,1.7841
15000lx_0640_500us_50,15000,640,500,50,02.png,3.6608,1.7841
15000lx_0640_500us_50,15000,640,500,50,03.png,3.7018,1.7869
15000lx_0640_500us_50,15000,640,500,50,04.png,3.6847,1.7746
15000lx_0640_500us_50,15000,640,500,50,05.png,3.6749,1.8005
15000lx_0640_500us_50,15000,640,500,50,06.png,3.6650,1.7563
15000lx_0640_500us_50,15000,640,500,50,07.png,3.6449,1.7357
15000lx_0640_500us_50,15000,640,500,50,08.png,3.6252,1.7446
15000lx_0640_500us_50,15000,640,500,50,09.png,3.6475,1.7360
15000lx_0640_500us_50,15000,640,500,50,10.png,3.6628,1.7900
15000lx_0640_500us_70,15000,640,500,70,01.png,4.1527,1.9684
15000lx_0640_500us_70,15000,640,500,70,02.png,4.1744,1.9778
15000lx_0640_500us_70,15000,640,500,70,03.png,4.1669,1.9820
15000lx_0640_500us_70,15000,640,500,70,04.png,4.1518,1.9752
15000lx_0640_500us_70,15000,640,500,70,05.png,4.1075,1.9217
15000lx_0640_500us_70,15000,640,500,70,06.png,4.1678,2.0045
15000lx_0640_500us_70,15000,640,500,70,07.png,4.1110,1.9845
15000lx_0640_500us_70,15000,640,500,70,08.png,4.1619,1.9553
15000lx_0640_500us_70,15000,640,500,70,09.png,4.1584,1.9938
15000lx_0640_500us_70,15000,640,500,70,10.png,4.1675,1.9883
15000lx_1250_250us_00,15000,1250,250,0,01.png,1.1602,1.3412
15000lx_1250_250us_00,15000,1250,250,0,02.png,1.1928,1.3225
15000lx_1250_250us_00,15000,1250,250,0,03.png,1.1730,1.2889
15000lx_1250_250us_00,15000,1250,250,0,04.png,1.1839,1.2944
15000lx_1250_250us_00,15000,1250,250,0,05.png,1.1671,1.2881
15000lx_1250_250us_00,15000,1250,250,0,06.png,1.1950,1.3537
15000lx_1250_250us_00,15000,1250,250,0,07.png,1.1460,1.3437
15000lx_1250_250us_00,15000,1250,250,0,08.png,1.1736,1.2882
15000lx_1250_250us_00,15000,1250,250,0,09.png,1.1298,1.3286
15000lx_1250_250us_00,15000,1250,250,0,10.png,1.1217,1.3017
15000lx_1250_250us_10,15000,1250,250,10,01.png,1.3591,1.3813
15000lx_1250_250us_10,15000,1250,250,10,02.png,1.3395,1.3682
15000lx_1250_250us_10,15000,1250,250,10,03.png,1.2779,1.3144
15000lx_1250_250us_10,15000,1250,250,10,04.png,1.3314,1.3388
15000lx_1250_250us_10,15000,1250,250,10,05.png,1.3511,1.3767
15000lx_1250_250us_10,15000,1250,250,10,06.png,1.3737,1.3616
15000lx_1250_250us_10,15000,1250,250,10,07.png,1.4014,1.3910
